order_id,order_date,delivery_date,promised_delivery_date,shipping_cost,delivery_status,region,order_value,delay_days,route_id,supplier_id,carrier_id,delay_days_calc,is_late,high_value,delivery_time,cost_per_day,origin,destination,distance,avg_delivery_time,cost_per_unit,lead_time,defect_rate,cost_per_km,on_time_rate
16,2024-07-11,2024-07-17,2024-07-18,1871.19,Delivered,North,8415.04,-1.0,10,5,10,-1,False,True,6,311.865,Bangalore,,962.8,20.5,79.27,5.0,0.095,5.08,0.93
17,2024-06-01,2024-06-09,2024-06-05,537.98,Delayed,Central,1886.89,4.0,15,8,6,4,True,False,8,67.2475,Delhi,,282.5,6.3,357.9,10.0,0.044,9.21,0.85
18,2024-05-20,2024-05-25,2024-05-28,521.08,Delivered,South,1113.92,,5,1,9,-3,False,False,5,104.21600000000001,Kolkata,Hyderabad,729.8,13.4,255.23,7.0,0.079,16.58,0.76
19,2024-01-17,2024-02-01,2024-01-27,1375.72,Delayed,North,6395.09,5.0,10,15,6,5,True,True,15,91.71466666666667,Bangalore,,962.8,20.5,472.77,5.0,0.089,9.21,0.85
21,2024-06-04,2024-06-18,2024-06-14,1622.56,Delayed,East,3706.7,4.0,20,5,9,4,True,False,14,115.89714285714285,Bangalore,Indore,376.3,7,79.27,5.0,0.095,16.58,0.76
22,2024-08-17,2024-08-18,2024-08-21,2138.64,Delivered,South,7474.6,-3.0,12,3,4,-3,False,True,1,2138.64,Chennai,Jaipur,660.3,12.9,316.59,3.0,0.005,10.83,0.78
23,2024-02-07,2024-02-13,2024-02-16,1838.69,Delivered,West,2828.54,-3.0,2,4,7,-3,False,False,6,306.4483333333333,Mumbai,Hyderabad,758.5,13.9,323.4,10.0,0.017,,0.92
24,2024-12-09,2024-12-17,2024-12-17,1566.46,Delivered,North,5175.95,0.0,15,4,7,0,False,False,8,195.8075,Delhi,,282.5,6.3,323.4,10.0,0.017,,0.92
25,2024-09-11,2024-09-15,2024-09-14,1833.86,Delayed,West,3644.39,1.0,5,15,9,1,True,False,4,458.465,Kolkata,Hyderabad,729.8,13.4,472.77,5.0,0.089,16.58,0.76
26,2024-04-19,2024-04-25,2024-04-28,875.1,Delivered,South,1636.48,-3.0,19,12,4,-3,False,False,6,145.85,Kolkata,Indore,527.6,11.8,190.27,7.0,0.052,10.83,0.78
28,2024-12-22,2024-12-25,2024-12-26,647.83,Delivered,North,2487.16,-1.0,7,4,6,-1,False,False,3,215.94333333333336,,Jaipur,1273.8,23.1,323.4,10.0,0.017,9.21,0.85
31,2024-09-16,2024-09-20,2024-09-19,321.05,Delayed,North,571.34,1.0,15,12,9,1,True,False,4,80.2625,Delhi,,282.5,6.3,190.27,7.0,0.052,16.58,0.76
32,2024-07-02,2024-07-15,2024-07-11,1140.88,Delayed,North,2842.56,4.0,6,5,3,4,True,False,13,87.76,Chennai,Hyderabad,729.8,14.9,79.27,5.0,0.095,5.68,0.79
33,2024-12-31,2025-01-05,2025-01-04,1134.07,Delayed,North,2182.4,1.0,9,5,10,1,True,False,5,226.814,,Ahmedabad,659.2,15.7,79.27,5.0,0.095,5.08,0.93
35,2024-07-02,2024-07-06,2024-07-07,1121.99,Delivered,South,3204.36,-1.0,1,3,2,-1,False,False,4,280.4975,Pune,Jaipur,949,23.4,316.59,3.0,0.005,,0.75
36,2024-07-18,2024-07-23,2024-07-25,849.43,Delivered,Central,3871.68,-2.0,9,11,4,-2,False,False,5,169.886,,Ahmedabad,659.2,15.7,166.45,,0.066,10.83,0.78
39,2024-12-25,2024-12-28,2024-12-28,2365.98,Delivered,South,9140.31,0.0,4,1,8,0,False,True,3,788.66,Delhi,Hyderabad,1256.9,28.1,255.23,7.0,0.079,6.12,0.98
40,2024-07-26,2024-08-02,2024-08-04,1304.41,Delivered,West,2355.23,-2.0,5,11,6,-2,False,False,7,186.34428571428572,Kolkata,Hyderabad,729.8,13.4,166.45,,0.066,9.21,0.85
41,2024-04-04,2024-04-05,2024-04-08,1597.49,Delivered,East,,-3.0,20,10,4,-3,False,False,1,1597.49,Bangalore,Indore,376.3,7,65.47,7.0,0.091,10.83,0.78
43,2024-09-08,2024-09-19,2024-09-16,861.49,Delayed,East,3292.22,3.0,20,10,3,3,True,False,11,78.31727272727272,Bangalore,Indore,376.3,7,65.47,7.0,0.091,5.68,0.79
44,2024-04-28,2024-05-10,2024-05-08,1095.58,Delayed,Central,2852.41,2.0,9,8,2,2,True,False,12,91.29833333333333,,Ahmedabad,659.2,15.7,357.9,10.0,0.044,,0.75
45,2024-03-14,2024-03-19,2024-03-22,2179.14,Delivered,East,4338.8,-3.0,13,3,4,-3,False,False,5,435.828,Kolkata,,872.6,18.5,316.59,3.0,0.005,10.83,0.78
49,2024-07-01,2024-07-06,2024-07-08,1346.76,Delivered,North,3651.03,-2.0,5,1,9,-2,False,False,5,269.352,Kolkata,Hyderabad,729.8,13.4,255.23,7.0,0.079,16.58,0.76
50,2024-04-03,2024-04-11,2024-04-11,1570.95,Delivered,North,4165.87,0.0,13,9,2,0,False,False,8,196.36875,Kolkata,,872.6,18.5,104.92,,0.05,,0.75
54,2024-03-24,2024-04-03,2024-03-30,1408.16,Delayed,East,4489.33,4.0,15,5,5,4,True,False,10,140.816,Delhi,,282.5,6.3,79.27,5.0,0.095,17.43,0.8
55,2024-11-08,2024-11-19,2024-11-16,922.63,Delayed,South,3212.42,3.0,2,7,8,3,True,False,11,83.87545454545455,Mumbai,Hyderabad,758.5,13.9,187.08,7.0,0.01,6.12,0.98
56,2024-03-30,2024-04-08,2024-04-05,829.89,Delayed,Central,3591.77,3.0,18,8,3,3,True,False,9,92.21,Pune,Indore,894.3,21.6,357.9,10.0,0.044,5.68,0.79
57,2024-06-04,2024-06-12,2024-06-13,1100.85,Delivered,Central,2268.94,-1.0,7,10,5,-1,False,False,8,137.60625,,Jaipur,1273.8,23.1,65.47,7.0,0.091,17.43,0.8
58,2024-04-02,2024-04-09,2024-04-07,1735.12,Delayed,North,6383.98,2.0,4,6,3,2,True,True,7,247.8742857142857,Delhi,Hyderabad,1256.9,28.1,484.53,14.0,0.081,5.68,0.79
59,2024-09-25,2024-10-04,2024-09-28,2201.1,Delayed,North,8363.63,6.0,5,5,3,6,True,True,9,244.56666666666666,Kolkata,Hyderabad,729.8,13.4,79.27,5.0,0.095,5.68,0.79
60,2024-06-08,2024-06-20,2024-06-17,1325.01,Delayed,Central,5352.16,3.0,7,12,8,3,True,False,12,110.4175,,Jaipur,1273.8,23.1,190.27,7.0,0.052,6.12,0.98
61,2024-04-11,2024-04-21,2024-04-16,1706.35,Delayed,East,3566.84,5.0,4,3,8,5,True,False,10,170.635,Delhi,Hyderabad,1256.9,28.1,316.59,3.0,0.005,6.12,0.98
62,2024-11-22,2024-12-04,2024-11-28,1506.25,Delayed,North,4535.78,6.0,9,5,3,6,True,False,12,125.52083333333333,,Ahmedabad,659.2,15.7,79.27,5.0,0.095,5.68,0.79
63,2024-02-16,2024-03-01,2024-02-25,1599.77,Delayed,South,4093.38,5.0,11,7,2,5,True,False,14,114.26928571428572,Delhi,Indore,661,13.4,187.08,7.0,0.01,,0.75
64,2024-03-06,2024-03-20,2024-03-16,1719.25,Delayed,West,7697.84,4.0,12,2,6,4,True,True,14,122.80357142857143,Chennai,Jaipur,660.3,12.9,139.85,3.0,0.051,9.21,0.85
65,2024-02-17,2024-02-18,2024-02-21,2121.62,Delivered,South,7963.99,-3.0,15,3,6,-3,False,True,1,2121.62,Delhi,,282.5,6.3,316.59,3.0,0.005,9.21,0.85
68,2024-05-12,2024-05-18,2024-05-17,684.8,Delayed,North,1464.23,1.0,6,3,5,1,True,False,6,114.13333333333333,Chennai,Hyderabad,729.8,14.9,316.59,3.0,0.005,17.43,0.8
69,2024-08-02,2024-08-11,2024-08-09,566.14,Delayed,East,2421.95,,15,5,6,2,True,False,9,62.904444444444444,Delhi,,282.5,6.3,79.27,5.0,0.095,9.21,0.85
71,2024-03-08,2024-03-14,2024-03-14,329.71,Delivered,East,517.5,0.0,18,9,5,0,False,False,6,54.95166666666666,Pune,Indore,894.3,21.6,104.92,,0.05,17.43,0.8
74,2024-10-16,2024-10-25,2024-10-19,1836.2,Delayed,Central,5265.44,6.0,4,4,5,6,True,False,9,204.02222222222224,Delhi,Hyderabad,1256.9,28.1,323.4,10.0,0.017,17.43,0.8
75,2024-04-13,2024-04-22,2024-04-21,138.71,Delayed,Central,655.95,1.0,9,8,10,1,True,False,9,15.412222222222223,,Ahmedabad,659.2,15.7,357.9,10.0,0.044,5.08,0.93
76,2024-03-09,2024-03-17,2024-03-14,1526.64,Delayed,Central,6245.97,3.0,16,4,4,3,True,True,8,190.83,Bangalore,Lucknow,631.3,12,323.4,10.0,0.017,10.83,0.78
77,2024-05-06,2024-05-14,2024-05-15,1436.28,Delivered,South,6772.31,-1.0,7,2,10,-1,False,True,8,179.535,,Jaipur,1273.8,23.1,139.85,3.0,0.051,5.08,0.93
78,2024-12-08,2024-12-13,2024-12-13,481.5,Delivered,South,812.79,0.0,13,15,5,0,False,False,5,96.3,Kolkata,,872.6,18.5,472.77,5.0,0.089,17.43,0.8
79,2024-08-04,2024-08-11,2024-08-09,467.37,Delayed,North,1069.86,2.0,2,7,8,2,True,False,7,66.76714285714286,Mumbai,Hyderabad,758.5,13.9,187.08,7.0,0.01,6.12,0.98
80,2024-11-15,2024-11-21,2024-11-18,1769.27,Delayed,North,3042.08,3.0,11,15,4,3,True,False,6,294.87833333333333,Delhi,Indore,661,13.4,472.77,5.0,0.089,10.83,0.78
81,2024-04-21,2024-05-03,2024-05-01,865.04,Delayed,East,2970.81,2.0,16,10,10,2,True,False,12,72.08666666666666,Bangalore,Lucknow,631.3,12,65.47,7.0,0.091,5.08,0.93
82,2024-06-28,2024-07-01,2024-07-02,1760.73,Delivered,Central,8281.52,-1.0,18,4,2,-1,False,True,3,586.91,Pune,Indore,894.3,21.6,323.4,10.0,0.017,,0.75
83,2024-05-03,2024-05-06,2024-05-09,1430.52,Delivered,North,5557.26,-3.0,4,15,2,-3,False,False,3,476.84,Delhi,Hyderabad,1256.9,28.1,472.77,5.0,0.089,,0.75
84,2024-12-20,2024-12-29,2024-12-29,1033.48,Delivered,North,2880.39,0.0,20,7,2,0,False,False,9,114.83111111111111,Bangalore,Indore,376.3,7,187.08,7.0,0.01,,0.75
85,2024-08-30,2024-09-08,2024-09-08,2320.32,Delivered,Central,7730.73,0.0,1,12,6,0,False,True,9,257.81333333333333,Pune,Jaipur,949,23.4,190.27,7.0,0.052,9.21,0.85
87,2024-03-05,2024-03-14,2024-03-15,957.75,Delivered,Central,4061.75,-1.0,20,9,6,-1,False,False,9,106.41666666666667,Bangalore,Indore,376.3,7,104.92,,0.05,9.21,0.85
88,2024-03-27,2024-04-02,2024-04-02,204.62,Delivered,Central,868.04,0.0,16,4,4,0,False,False,6,34.10333333333333,Bangalore,Lucknow,631.3,12,323.4,10.0,0.017,10.83,0.78
89,2024-09-30,2024-10-12,2024-10-07,831.44,Delayed,East,2968.31,5.0,4,3,7,5,True,False,12,69.28666666666668,Delhi,Hyderabad,1256.9,28.1,316.59,3.0,0.005,,0.92
90,2024-03-03,2024-03-09,2024-03-10,1055.65,Delivered,Central,4546.04,,19,6,7,-1,False,False,6,175.9416666666667,Kolkata,Indore,527.6,11.8,484.53,14.0,0.081,,0.92
93,2024-04-23,2024-05-06,2024-05-03,954.2,Delayed,West,2002.52,3.0,2,4,8,3,True,False,13,73.4,Mumbai,Hyderabad,758.5,13.9,323.4,10.0,0.017,6.12,0.98
94,2024-03-13,2024-03-28,2024-03-22,1930.11,Delayed,Central,3329.17,6.0,1,3,3,6,True,False,15,128.674,Pune,Jaipur,949,23.4,316.59,3.0,0.005,5.68,0.79
96,2024-11-21,2024-12-06,2024-11-30,1760.08,Delayed,South,6529.69,6.0,18,4,3,6,True,True,15,117.33866666666667,Pune,Indore,894.3,21.6,323.4,10.0,0.017,5.68,0.79
97,2024-09-11,2024-09-22,2024-09-21,462.71,Delayed,South,2049.72,1.0,19,6,4,1,True,False,11,42.06454545454545,Kolkata,Indore,527.6,11.8,484.53,14.0,0.081,10.83,0.78
98,2024-12-04,2024-12-10,2024-12-13,1057.3,Delivered,Central,4415.92,-3.0,20,8,4,-3,False,False,6,176.21666666666667,Bangalore,Indore,376.3,7,357.9,10.0,0.044,10.83,0.78
99,2024-06-26,2024-06-30,2024-06-30,678.05,Delivered,South,1486.14,0.0,17,4,7,0,False,False,4,169.5125,Bangalore,Ahmedabad,496.2,11.2,323.4,10.0,0.017,,0.92
101,2024-09-10,2024-09-18,2024-09-19,1331.51,Delivered,East,6491.64,-1.0,14,6,1,-1,False,True,8,166.43875,Delhi,Jaipur,226,4.2,484.53,14.0,0.081,,0.96
102,2024-11-06,2024-11-10,2024-11-10,1699.9,Delivered,West,4394.49,0.0,19,9,8,0,False,False,4,424.975,Kolkata,Indore,527.6,11.8,104.92,,0.05,6.12,0.98
103,2024-07-18,2024-07-19,2024-07-21,354.18,Delivered,Central,1201.2,-2.0,9,9,9,-2,False,False,1,354.18,,Ahmedabad,659.2,15.7,104.92,,0.05,16.58,0.76
104,2024-08-23,2024-08-25,2024-08-26,414.15,Delivered,East,1032.83,-1.0,9,9,4,-1,False,False,2,207.075,,Ahmedabad,659.2,15.7,104.92,,0.05,10.83,0.78
105,2024-03-27,2024-04-06,2024-04-03,872.75,Delayed,Central,3196.33,,17,4,6,3,True,False,10,87.275,Bangalore,Ahmedabad,496.2,11.2,323.4,10.0,0.017,9.21,0.85
106,2024-11-02,2024-11-03,2024-11-05,1687.75,Delivered,Central,6312.43,-2.0,11,9,4,-2,False,True,1,1687.75,Delhi,Indore,661,13.4,104.92,,0.05,10.83,0.78
107,2024-04-25,2024-05-07,2024-05-03,2131.61,Delayed,East,8896.18,4.0,12,8,10,4,True,True,12,177.6341666666667,Chennai,Jaipur,660.3,12.9,357.9,10.0,0.044,5.08,0.93
108,2024-09-29,2024-10-10,2024-10-06,1427.82,Delayed,South,2484.81,4.0,16,11,2,4,True,False,11,129.80181818181816,Bangalore,Lucknow,631.3,12,166.45,,0.066,,0.75
109,2024-08-11,2024-08-18,2024-08-15,2150.69,Delayed,North,3637.68,3.0,17,4,4,3,True,False,7,307.24142857142857,Bangalore,Ahmedabad,496.2,11.2,323.4,10.0,0.017,10.83,0.78
112,2024-07-28,2024-08-04,2024-08-07,950.24,Delivered,West,1599.14,,13,15,9,-3,False,False,7,135.74857142857144,Kolkata,,872.6,18.5,472.77,5.0,0.089,16.58,0.76
113,2024-07-24,2024-08-08,2024-08-03,510.6,Delayed,Central,2363.83,5.0,5,12,2,5,True,False,15,34.04,Kolkata,Hyderabad,729.8,13.4,190.27,7.0,0.052,,0.75
114,2024-06-16,2024-06-23,2024-06-24,2089.87,Delivered,Central,5723.78,-1.0,13,8,9,-1,False,False,7,298.55285714285714,Kolkata,,872.6,18.5,357.9,10.0,0.044,16.58,0.76
115,2024-10-10,2024-10-15,2024-10-18,912.81,Delivered,South,1957.85,-3.0,15,5,6,-3,False,False,5,182.56199999999998,Delhi,,282.5,6.3,79.27,5.0,0.095,9.21,0.85
116,2024-06-21,2024-06-28,2024-06-30,1425.69,Delivered,South,3516.14,-2.0,7,6,7,-2,False,False,7,203.67000000000002,,Jaipur,1273.8,23.1,484.53,14.0,0.081,,0.92
118,2024-02-06,2024-02-16,2024-02-14,1351.68,Delayed,East,4467.01,2.0,16,4,5,2,True,False,10,135.168,Bangalore,Lucknow,631.3,12,323.4,10.0,0.017,17.43,0.8
119,2024-12-10,2024-12-11,2024-12-13,106.45,Delivered,East,205.35,-2.0,2,4,10,-2,False,False,1,106.45,Mumbai,Hyderabad,758.5,13.9,323.4,10.0,0.017,5.08,0.93
120,2024-01-28,2024-02-05,2024-01-31,2472.03,Delayed,North,,5.0,9,6,7,5,True,False,8,309.00375,,Ahmedabad,659.2,15.7,484.53,14.0,0.081,,0.92
121,2024-08-04,2024-08-08,2024-08-11,2272.82,Delivered,East,5007.35,-3.0,11,3,3,-3,False,False,4,568.205,Delhi,Indore,661,13.4,316.59,3.0,0.005,5.68,0.79
122,2024-05-10,2024-05-19,2024-05-18,598.33,Delayed,North,2705.47,1.0,8,13,1,1,True,False,9,66.48111111111112,Chennai,Ahmedabad,1030.2,22.6,296.02,10.0,0.018,,0.96
124,2024-02-27,2024-03-13,2024-03-07,1348.02,Delayed,Central,3069.52,6.0,2,8,4,6,True,False,15,89.868,Mumbai,Hyderabad,758.5,13.9,357.9,10.0,0.044,10.83,0.78
126,2024-12-19,2024-12-30,2024-12-27,2460.71,Delayed,East,,3.0,9,14,7,3,True,False,11,223.7009090909091,,Ahmedabad,659.2,15.7,486.31,10.0,0.078,,0.92
127,2024-11-29,2024-12-14,2024-12-09,718.1,Delayed,West,3518.19,5.0,13,11,10,5,True,False,15,47.873333333333335,Kolkata,,872.6,18.5,166.45,,0.066,5.08,0.93
128,2024-07-09,2024-07-21,2024-07-16,1454.46,Delayed,South,6724.45,5.0,13,13,10,5,True,True,12,121.205,Kolkata,,872.6,18.5,296.02,10.0,0.018,5.08,0.93
130,2024-07-02,2024-07-09,2024-07-05,1046.49,Delayed,North,2518.39,,12,7,1,4,True,False,7,149.49857142857144,Chennai,Jaipur,660.3,12.9,187.08,7.0,0.01,,0.96
132,2024-11-02,2024-11-10,2024-11-08,486.57,Delayed,West,2304.16,2.0,10,7,4,2,True,False,8,60.82125,Bangalore,,962.8,20.5,187.08,7.0,0.01,10.83,0.78
134,2024-02-19,2024-02-29,2024-02-25,2178.07,Delayed,Central,6127.94,,10,2,7,4,True,True,10,217.80700000000002,Bangalore,,962.8,20.5,139.85,3.0,0.051,,0.92
135,2024-09-09,2024-09-18,2024-09-15,2460.45,Delayed,Central,10938.28,3.0,16,7,4,3,True,True,9,273.3833333333333,Bangalore,Lucknow,631.3,12,187.08,7.0,0.01,10.83,0.78
136,2024-09-10,2024-09-14,2024-09-17,290.48,Delivered,North,902.1,-3.0,19,7,10,-3,False,False,4,72.62,Kolkata,Indore,527.6,11.8,187.08,7.0,0.01,5.08,0.93
137,2024-04-13,2024-04-16,2024-04-17,1128.03,Delivered,West,4093.59,-1.0,7,11,6,-1,False,False,3,376.01,,Jaipur,1273.8,23.1,166.45,,0.066,9.21,0.85
138,2024-03-29,2024-03-31,2024-04-02,590.9,Delivered,East,1368.98,-2.0,6,5,2,-2,False,False,2,295.45,Chennai,Hyderabad,729.8,14.9,79.27,5.0,0.095,,0.75
139,2024-02-17,2024-02-21,2024-02-21,1181.53,Delivered,Central,4539.84,0.0,15,15,2,0,False,False,4,295.3825,Delhi,,282.5,6.3,472.77,5.0,0.089,,0.75
140,2024-02-08,2024-02-10,2024-02-13,1414.63,Delivered,South,4215.65,-3.0,5,6,6,-3,False,False,2,707.315,Kolkata,Hyderabad,729.8,13.4,484.53,14.0,0.081,9.21,0.85
141,2024-05-12,2024-05-23,2024-05-21,323.98,Delayed,East,1599.85,,19,5,9,2,True,False,11,29.452727272727273,Kolkata,Indore,527.6,11.8,79.27,5.0,0.095,16.58,0.76
142,2024-03-11,2024-03-16,2024-03-17,812.47,Delivered,Central,2579.29,-1.0,9,4,8,-1,False,False,5,162.494,,Ahmedabad,659.2,15.7,323.4,10.0,0.017,6.12,0.98
144,2024-02-08,2024-02-15,2024-02-18,1465.61,Delivered,West,5111.65,-3.0,11,11,9,-3,False,False,7,209.37285714285713,Delhi,Indore,661,13.4,166.45,,0.066,16.58,0.76
145,2024-12-26,2025-01-01,2024-12-29,1197.79,Delayed,East,2871.71,3.0,2,5,3,3,True,False,6,199.63166666666666,Mumbai,Hyderabad,758.5,13.9,79.27,5.0,0.095,5.68,0.79
147,2024-08-06,2024-08-18,2024-08-16,1880.47,Delayed,South,3012.66,2.0,5,11,9,2,True,False,12,156.70583333333335,Kolkata,Hyderabad,729.8,13.4,166.45,,0.066,16.58,0.76
148,2024-12-14,2024-12-19,2024-12-19,216.59,Delivered,North,530.08,0.0,1,2,8,0,False,False,5,43.318,Pune,Jaipur,949,23.4,139.85,3.0,0.051,6.12,0.98
149,2024-11-24,2024-12-02,2024-11-29,1800.87,Delayed,North,7342.81,3.0,20,9,6,3,True,True,8,225.10875,Bangalore,Indore,376.3,7,104.92,,0.05,9.21,0.85
150,2024-11-30,2024-12-07,2024-12-05,2114.18,Delayed,Central,9312.25,2.0,10,14,4,2,True,True,7,302.0257142857143,Bangalore,,962.8,20.5,486.31,10.0,0.078,10.83,0.78
151,2024-11-10,2024-11-24,2024-11-19,498.25,Delayed,North,2185.72,,11,12,7,5,True,False,14,35.589285714285715,Delhi,Indore,661,13.4,190.27,7.0,0.052,,0.92
152,2024-07-18,2024-07-22,2024-07-24,1974.4,Delivered,West,8184.8,-2.0,6,5,5,-2,False,True,4,493.6,Chennai,Hyderabad,729.8,14.9,79.27,5.0,0.095,17.43,0.8
155,2024-02-08,2024-02-12,2024-02-15,1696.63,Delivered,East,2751.86,-3.0,4,1,5,-3,False,False,4,424.1575,Delhi,Hyderabad,1256.9,28.1,255.23,7.0,0.079,17.43,0.8
156,2024-04-19,2024-04-20,2024-04-23,367.34,Delivered,North,1170.74,-3.0,4,1,9,-3,False,False,1,367.34,Delhi,Hyderabad,1256.9,28.1,255.23,7.0,0.079,16.58,0.76
157,2024-07-28,2024-08-02,2024-08-02,1695.69,Delivered,South,3994.58,0.0,14,5,2,0,False,False,5,339.13800000000003,Delhi,Jaipur,226,4.2,79.27,5.0,0.095,,0.75
159,2024-09-03,2024-09-11,2024-09-07,1771.15,Delayed,Central,2785.06,,13,12,4,4,True,False,8,221.39375,Kolkata,,872.6,18.5,190.27,7.0,0.052,10.83,0.78
161,2024-02-09,2024-02-16,2024-02-12,1151.71,Delayed,North,,4.0,7,4,7,4,True,False,7,164.53,,Jaipur,1273.8,23.1,323.4,10.0,0.017,,0.92
162,2024-02-08,2024-02-18,2024-02-16,1936.23,Delayed,West,8725.58,2.0,6,9,9,2,True,True,10,193.623,Chennai,Hyderabad,729.8,14.9,104.92,,0.05,16.58,0.76
163,2024-07-10,2024-07-11,2024-07-13,1457.54,Delivered,North,4828.77,-2.0,8,13,7,-2,False,False,1,1457.54,Chennai,Ahmedabad,1030.2,22.6,296.02,10.0,0.018,,0.92
164,2024-04-18,2024-04-26,2024-04-25,303.77,Delayed,East,787.72,1.0,1,1,1,1,True,False,8,37.97125,Pune,Jaipur,949,23.4,255.23,7.0,0.079,,0.96
166,2024-08-22,2024-09-05,2024-09-01,2055.62,Delayed,East,4609.85,4.0,20,3,5,4,True,False,14,146.82999999999998,Bangalore,Indore,376.3,7,316.59,3.0,0.005,17.43,0.8
169,2024-07-29,2024-08-07,2024-08-06,1901.72,Delayed,North,,1.0,20,3,3,1,True,False,9,211.3022222222222,Bangalore,Indore,376.3,7,316.59,3.0,0.005,5.68,0.79
170,2024-06-04,2024-06-14,2024-06-13,1477.75,Delayed,Central,2673.22,1.0,18,12,2,1,True,False,10,147.775,Pune,Indore,894.3,21.6,190.27,7.0,0.052,,0.75
174,2024-04-20,2024-04-27,2024-04-29,2071.61,Delivered,East,,-2.0,7,12,9,-2,False,False,7,295.94428571428574,,Jaipur,1273.8,23.1,190.27,7.0,0.052,16.58,0.76
175,2024-10-12,2024-10-16,2024-10-18,2283.69,Delivered,West,9602.14,-2.0,4,14,4,-2,False,True,4,570.9225,Delhi,Hyderabad,1256.9,28.1,486.31,10.0,0.078,10.83,0.78
176,2024-05-30,2024-06-01,2024-06-02,408.71,Delivered,North,1935.43,-1.0,8,5,8,-1,False,False,2,204.355,Chennai,Ahmedabad,1030.2,22.6,79.27,5.0,0.095,6.12,0.98
177,2024-01-11,2024-01-20,2024-01-19,296.27,Delayed,South,1395.57,1.0,1,11,2,1,True,False,9,32.91888888888889,Pune,Jaipur,949,23.4,166.45,,0.066,,0.75
180,2024-04-27,2024-05-05,2024-04-30,1118.34,Delayed,North,4396.42,5.0,6,7,2,5,True,False,8,139.7925,Chennai,Hyderabad,729.8,14.9,187.08,7.0,0.01,,0.75
181,2024-07-12,2024-07-15,2024-07-15,1449.32,Delivered,East,3390.11,0.0,15,9,4,0,False,False,3,483.1066666666666,Delhi,,282.5,6.3,104.92,,0.05,10.83,0.78
183,2024-12-14,2024-12-18,2024-12-20,583.36,Delivered,South,2167.39,-2.0,11,4,2,-2,False,False,4,145.84,Delhi,Indore,661,13.4,323.4,10.0,0.017,,0.75
184,2024-10-16,2024-10-24,2024-10-20,2047.95,Delayed,South,4287.48,4.0,7,13,10,4,True,False,8,255.99375,,Jaipur,1273.8,23.1,296.02,10.0,0.018,5.08,0.93
186,2024-05-17,2024-05-28,2024-05-24,2039.05,Delayed,West,6347.73,4.0,8,4,5,4,True,True,11,185.36818181818182,Chennai,Ahmedabad,1030.2,22.6,323.4,10.0,0.017,17.43,0.8
